"chart","beta","alpha","validity","k","n_rep","mean_Rk","sd_Rk","se_Rk","ci_lower","ci_upper","mcse_ratio","censored_rate","lower_bound","ratio"
"Pprime",0.1,0.01,"marginal",1,1000,102.21,102.205155416906,3.23201079728918,95.8753752396686,108.544624760331,0.0316212777349494,0,50.5,2.0239603960396
"Pprime",0.1,0.01,"marginal",5,1000,505.362,224.86929349103,7.11099143264532,491.424712897642,519.299287102358,0.0140710845545279,0,250.5,2.01741317365269
"Pstar",0.1,0.01,"conditional",1,1000,148.836,141.497351934955,4.47453914996892,140.066064418646,157.605935581354,0.0300635541802314,0,100,1.48836
"Pstar",0.1,0.01,"conditional",5,1000,752.75,327.4219886609,10.3539924019027,732.456547796069,773.043452203931,0.0137548886109634,0,500,1.5055
"Pprime",0.5,0.01,"marginal",1,1000,110.705,115.992129686238,3.66799320462145,103.515865423404,117.894134576596,0.0331330401031702,0,50.5,2.19217821782178
"Pprime",0.5,0.01,"marginal",5,1000,513.69,249.645979368815,7.89449903508861,498.21706621524,529.16293378476,0.0153682163076731,0,250.5,2.05065868263473
"Pstar",0.5,0.01,"conditional",1,1000,260.621,251.886136944821,7.9653390376672,245.009222361521,276.232777638479,0.0305629210142974,0,100,2.60621
"Pstar",0.5,0.01,"conditional",5,1000,1294.913,580.505995353744,18.3572114070095,1258.93352678567,1330.89247321433,0.0141764052156473,0,500,2.589826
"Pprime",0.1,0.05,"marginal",1,1000,20.308,19.9805995996206,0.631842037506495,19.0696123625689,21.5463876374311,0.0311129622565735,0,10.5,1.93409523809524
"Pprime",0.1,0.05,"marginal",5,1000,100.351,44.3055841151404,1.4010655886802,97.6049619062084,103.097038093792,0.0139616504935695,0,50.5,1.98714851485149
"Pstar",0.1,0.05,"conditional",1,1000,28.846,28.0868858572316,0.888185316900226,27.1051887672783,30.5868112327217,0.03079058853568,0,20,1.4423
"Pstar",0.1,0.05,"conditional",5,1000,148.588,64.443115777957,2.03787025376278,144.593847697459,152.582152302541,0.0137149046609604,0,100,1.48588
"Pprime",0.5,0.05,"marginal",1,1000,22.597,21.6791738213793,0.68555567066255,21.2533355761042,23.9406644238958,0.0303383489251914,0,10.5,2.15209523809524
"Pprime",0.5,0.05,"marginal",5,1000,102.452,52.3789772070174,1.6563686948422,99.2055770129897,105.69842298701,0.0161672655960079,0,50.5,2.02875247524752
"Pstar",0.5,0.05,"conditional",1,1000,40.34,40.5232097757634,1.28145640992214,37.8283915887946,42.8516084112054,0.0317663958830475,0,20,2.017
"Pstar",0.5,0.05,"conditional",5,1000,201.606,87.0971795334538,2.75425465102315,196.207760079743,207.004239920257,0.0136615708412605,0,100,2.01606
