"n","chart","direction","threshold","boundary_gamma","reported_limit","threshold_scale","lambda","r","deterministic_gamma0_mean","deterministic_gamma1_mean","calibration_horizon","n_rep","mean_RL","sd_RL","se_RL","ci_lower","ci_upper","relative_MCSE","censored_rate"
3,"Raw exact KS p","lower",0.00769008939728924,0.046460370067507,0.00769008939728924,"chart scale",,,202.0169,164.6623,1600,10000,200.0046,239.47575167938,2.3947575167938,195.310875267084,204.698324732916,0.0119735121931886,0.0046
3,"Qtilde(0.95,1)","lower",0.026889839129781,,0.026889839129781,"chart scale",0.95,1,,,1600,10000,200.0329,235.590373954498,2.35590373954498,195.415328670492,204.650471329508,0.0117775812856034,0.0031
3,"p-EWMA(0.2)","lower",0.291032301678822,,0.291032301678822,"chart scale",0.2,,,,1600,10000,200.005,226.839639386947,2.26839639386947,195.558943068016,204.451056931984,0.0113416984268867,0.0026
3,"KS-EWMA(0.2)","upper",0.57052143964017,,0.57052143964017,"chart scale",0.2,,,,1600,10000,199.991,237.696120842529,2.37696120842529,195.332156031486,204.649843968514,0.0118853408824662,0.0035
3,"Bakir Shew-KS","upper",0.86,0.50457009440288,0.86,"chart scale",,,223.9583,182.2705,1600,10000,199.9454,240.378941719949,2.40378941719949,195.233972742289,204.656827257711,0.0120222291545567,0.0043
5,"Raw exact KS p","lower",0.0068148052779183,0.430110749322921,0.0068148052779183,"chart scale",,,220.198,179.8744,1600,10000,200.0159,232.594603273888,2.32594603273888,195.457045775832,204.574754224168,0.0116288056736433,0.0029
5,"Qtilde(0.95,1)","lower",0.0271764156864014,,0.0271764156864014,"chart scale",0.95,1,,,1600,10000,200.0015,230.922571917889,2.30922571917889,195.475417590409,204.527582409591,0.0115460420005794,0.0031
5,"p-EWMA(0.2)","lower",0.297504298363774,,0.297504298363774,"chart scale",0.2,,,,1600,10000,199.9772,229.9035659687,2.299035659687,195.471090107013,204.483309892987,0.0114964888981694,0.0029
5,"KS-EWMA(0.2)","upper",0.458424031547333,,0.458424031547333,"chart scale",0.2,,,,1600,10000,199.992,236.049660622988,2.36049660622988,195.365426651789,204.618573348211,0.0118029551493554,0.0039
5,"Bakir Shew-KS","upper",0.71,0.929117486346513,0.71,"chart scale",,,243.6366,197.6473,1600,10000,199.9891,231.937525818437,2.31937525818437,195.443124493959,204.535075506041,0.0115975083551272,0.003
8,"Raw exact KS p","lower",0.00647811920988463,0.697931946720928,0.00647811920988463,"chart scale",,,213.3996,195.1239,1600,10000,199.9985,236.546414300369,2.36546414300369,195.362190279713,204.634809720287,0.0118274094205891,0.0035
8,"Qtilde(0.95,1)","lower",0.0267851016678563,,0.0267851016678563,"chart scale",0.95,1,,,1600,10000,200.0038,233.957454240295,2.33957454240295,195.41823389689,204.58936610311,0.0116976504566561,0.0028
8,"p-EWMA(0.2)","lower",0.295852777777825,,0.295852777777825,"chart scale",0.2,,,,1600,10000,199.992,228.059273521653,2.28059273521653,195.522038238976,204.461961761024,0.0114034198128752,0.0019
8,"KS-EWMA(0.2)","upper",0.373153488485562,,0.373153488485562,"chart scale",0.2,,,,1600,10000,200.0133,238.645342051837,2.38645342051837,195.335851295784,204.690748704216,0.0119314736595935,0.0034
8,"Bakir Shew-KS","upper",0.58,0.617155137006193,0.58,"chart scale",,,217.7078,190.4622,1600,10000,199.9502,236.460803286949,2.36460803286949,195.315568255576,204.584831744424,0.0118259848345713,0.0039
20,"Raw exact KS p","lower",0.00969599146146661,0.0754835377447307,0.00969599146146661,"chart scale",,,206.1714,148.13,1600,10000,199.9796,247.997603345208,2.47997603345208,195.118846974434,204.840353025566,0.012401145084059,0.0044
20,"Qtilde(0.95,1)","lower",0.0314653433511518,,0.0314653433511518,"chart scale",0.95,1,,,1600,10000,200.027,253.377710735237,2.53377710735237,195.060796869589,204.993203130411,0.0126671754680737,0.0044
20,"p-EWMA(0.2)","lower",0.3185501436185,,0.3185501436185,"chart scale",0.2,,,,1600,10000,200.061,271.651656614228,2.71651656614228,194.736627530361,205.385372469639,0.0135784414060825,0.0064
20,"KS-EWMA(0.2)","upper",0.250174154565812,,0.250174154565812,"chart scale",0.2,,,,1600,10000,199.9803,273.337346226955,2.73337346226955,194.622888013952,205.337711986048,0.0136682136303904,0.0071
20,"Bakir Shew-KS","upper",0.39,0.525758740957826,0.39,"chart scale",,,239.6873,173.6215,1600,10000,199.9984,246.939020175849,2.46939020175849,195.158395204553,204.838404795447,0.0123470497851907,0.0046
