"chart_index","chart","chart_type","threshold","validity","lambda","r","kappa","k","n_rep","mean_Rk","sd_Rk","se_Rk","ci_lower","ci_upper","mcse_ratio","censored_rate","lower_bound","ratio","n0","alpha_nominal","ks_engine"
1,"raw P_t alpha=0.05","p_shewhart",0.05,"marginal",NA,NA,NA,1,500,120.23,212.82860976445,9.51798477980171,101.575092626188,138.884907373812,0.0791648072843859,0,10.5,11.4504761904762,50,0.05,"asymp"
1,"raw P_t alpha=0.05","p_shewhart",0.05,"marginal",NA,NA,NA,5,500,573.872,758.936345399756,33.9406651781823,507.34951863943,640.39448136057,0.0591432674502019,0,50.5,11.363801980198,50,0.05,"asymp"
2,"Qtilde(lambda=0.50,r=-0.90,alpha=0.05)","qtilde",0.05,"marginal",0.5,-0.9,NA,1,500,39045.534,61701.8292227037,2759.38968956097,33637.2295891493,44453.8384108507,0.070671070590582,0.082,10.5,3718.62228571429,50,0.05,"asymp"
2,"Qtilde(lambda=0.50,r=-0.90,alpha=0.05)","qtilde",0.05,"marginal",0.5,-0.9,NA,5,500,83694.542,82818.5922709856,3703.76004237525,76435.305709566,90953.778290434,0.0442533043836389,0.27,50.5,1657.31766336634,50,0.05,"asymp"
3,"Qtilde(lambda=0.50,r=-0.80,alpha=0.05)","qtilde",0.05,"marginal",0.5,-0.8,NA,1,500,21479.996,43974.8459308417,1966.61489602884,17625.5016323235,25334.4903676765,0.0915556453562115,0.03,10.5,2045.7139047619,50,0.05,"asymp"
3,"Qtilde(lambda=0.50,r=-0.80,alpha=0.05)","qtilde",0.05,"marginal",0.5,-0.8,NA,5,500,59057.308,72763.422153773,3254.07916422701,52679.4300352729,65435.1859647271,0.0551003639418683,0.154,50.5,1169.45164356436,50,0.05,"asymp"
4,"Qtilde(lambda=0.50,r=-0.50,alpha=0.05)","qtilde",0.05,"marginal",0.5,-0.5,NA,1,500,14963.068,33416.7548766835,1494.44270983424,12034.0141117664,17892.1218882335,0.0998754205911675,0.01,10.5,1425.0540952381,50,0.05,"asymp"
4,"Qtilde(lambda=0.50,r=-0.50,alpha=0.05)","qtilde",0.05,"marginal",0.5,-0.5,NA,5,500,50798.844,67285.7073704092,3009.10831188787,44901.1000831197,56696.5879168803,0.0592357635517822,0.108,50.5,1005.9177029703,50,0.05,"asymp"
5,"Qtilde(lambda=0.50,r=0.50,alpha=0.05)","qtilde",0.05,"marginal",0.5,0.5,NA,1,500,162325.38,73901.7976918816,3304.98886596969,155847.720853394,168803.039146606,0.0203602718562537,0.778,10.5,15459.56,50,0.05,"asymp"
5,"Qtilde(lambda=0.50,r=0.50,alpha=0.05)","qtilde",0.05,"marginal",0.5,0.5,NA,5,500,176348.786,60119.2090145344,2688.61276220034,171079.201817713,181618.370182287,0.015245995298206,0.854,50.5,3492.05516831683,50,0.05,"asymp"
6,"Qtilde(lambda=0.70,r=-0.90,alpha=0.05)","qtilde",0.05,"marginal",0.7,-0.9,NA,1,500,24417.148,47778.9829610435,2136.74107593395,20229.2124468821,28605.0835531179,0.0875098547927853,0.04,10.5,2325.44266666667,50,0.05,"asymp"
6,"Qtilde(lambda=0.70,r=-0.90,alpha=0.05)","qtilde",0.05,"marginal",0.7,-0.9,NA,5,500,66990.654,75912.5556455027,3394.91269538159,60336.7473863943,73644.5606136057,0.0506774078572451,0.18,50.5,1326.5476039604,50,0.05,"asymp"
