"chart_index","chart","chart_type","threshold","validity","lambda","r","kappa","k","n_rep","mean_Rk","sd_Rk","se_Rk","ci_lower","ci_upper","mcse_ratio","censored_rate","lower_bound","ratio","n0","ks_engine"
1,"KS raw P_t alpha=0.01","p_shewhart",0.01,"marginal",NA,NA,NA,1,1000,5133.92,16875.3709151273,533.646084519622,4087.99289385072,6179.84710614928,0.103945150006159,0.001,50.5,101.661782178218,20,"asymp"
1,"KS raw P_t alpha=0.01","p_shewhart",0.01,"marginal",NA,NA,NA,5,1000,21496.258,40086.5170974786,1267.64697491314,19011.7155840591,23980.8004159409,0.0589705880397017,0.019,250.5,85.8134051896208,20,"asymp"
1,"KS raw P_t alpha=0.05","p_shewhart",0.05,"marginal",NA,NA,NA,1,1000,134.259,279.0423454416,8.82409375230961,116.964094049268,151.553905950732,0.065724411416066,0,10.5,12.7865714285714,20,"asymp"
1,"KS raw P_t alpha=0.05","p_shewhart",0.05,"marginal",NA,NA,NA,5,1000,722.996,1070.75418771748,33.8602204735072,656.63118736334,789.36081263666,0.0468332058178844,0,50.5,14.3167524752475,20,"asymp"
1,"KS raw P_t alpha=0.01","p_shewhart",0.01,"marginal",NA,NA,NA,1,1000,2490.102,6459.27950481455,204.260352788585,2089.75906506493,2890.44493493507,0.0820289099758103,0,50.5,49.3089504950495,50,"asymp"
1,"KS raw P_t alpha=0.01","p_shewhart",0.01,"marginal",NA,NA,NA,5,1000,12042.322,21147.100692199,668.73004096272,10731.6352043331,13353.0087956669,0.0555316525303609,0.002,250.5,48.0731417165669,50,"asymp"
1,"KS raw P_t alpha=0.05","p_shewhart",0.05,"marginal",NA,NA,NA,1,1000,111.187,203.163287412742,6.42458725151682,98.5950403714919,123.778959628508,0.0577818202803998,0,10.5,10.5892380952381,50,"asymp"
1,"KS raw P_t alpha=0.05","p_shewhart",0.05,"marginal",NA,NA,NA,5,1000,573.882,703.002199262682,22.2308814977762,530.310272919781,617.453727080219,0.0387377222107963,0,50.5,11.364,50,"asymp"
1,"KS raw P_t alpha=0.01","p_shewhart",0.01,"marginal",NA,NA,NA,1,1000,1769.421,3413.58234559959,107.946951926348,1557.84886198348,1980.99313801652,0.0610069349953163,0,50.5,35.0380396039604,100,"asymp"
1,"KS raw P_t alpha=0.01","p_shewhart",0.01,"marginal",NA,NA,NA,5,1000,8797.288,13837.518758522,437.58076442235,7939.64546140469,9654.93053859531,0.0497404159580032,0,250.5,35.1189141716567,100,"asymp"
1,"KS raw P_t alpha=0.05","p_shewhart",0.05,"marginal",NA,NA,NA,1,1000,93.628,154.452721760606,4.88422391575767,84.0550970326858,103.200902967314,0.0521662741461707,0,10.5,8.91695238095238,100,"asymp"
1,"KS raw P_t alpha=0.05","p_shewhart",0.05,"marginal",NA,NA,NA,5,1000,457.723,542.494965007104,17.1551970859579,424.099431563836,491.346568436164,0.0374794298865425,0,50.5,9.06382178217822,100,"asymp"
