"model","n0","delta","rho","alpha","n_rep_run","mean_R","se_R","censored_rate","mean_true_ooc","se_true_ooc","mean_false_ooc_at_alarm","n_rep_fwer","fwer_hat","fwer_se"
"normal_Z",NA,0.5,0,0.01,1000,53.173,1.64767408819247,0,0.806,0.0131353163850947,0.208,10000,0.0045,0.000669342813497021
"normal_Z",NA,1,0,0.01,1000,18.448,0.578686594085412,0,0.958,0.009072944302613,0.065,10000,0.0031,0.000555940560663321
"normal_Z",NA,0.5,0.5,0.01,1000,55.998,1.74576736700504,0,0.843,0.0115101469792302,0.221,10000,0.0046,0.000676705100453201
"normal_Z",NA,1,0.5,0.01,1000,17.56,0.518029685206123,0,0.964,0.00589395781616554,0.073,10000,0.004,0.00063122091535718
"normal_Z",NA,0.5,0.9,0.01,1000,64.736,2.02100241334709,0,0.963,0.00597215762238963,0.398,10000,0.0045,0.000669342813497033
"normal_Z",NA,1,0.9,0.01,1000,18.566,0.589254499231753,0,0.999,0.001,0.092,10000,0.0048,0.000691190114496345
"normal_Z",NA,0.5,0,0.05,1000,13.065,0.384804950396756,0,0.792,0.0141044296210422,0.252,10000,0.0191,0.00136883394560371
"normal_Z",NA,1,0,0.05,1000,5.676,0.168063289475333,0,0.998,0.0120889264263681,0.115,10000,0.0172,0.00130022500303072
"normal_Z",NA,0.5,0.5,0.05,1000,13.7,0.412849178810428,0,0.827,0.01196721413756,0.342,10000,0.0223,0.00147664790959278
"normal_Z",NA,1,0.5,0.05,1000,6.065,0.174875259417553,0,0.96,0.00696049196885173,0.136,10000,0.0212,0.00144057749751721
"normal_Z",NA,0.5,0.9,0.05,1000,16.727,0.522127463449385,0,0.98,0.00442940398017835,0.534,10000,0.0237,0.00152120426184029
"normal_Z",NA,1,0.9,0.05,1000,5.927,0.161026707724528,0,1,0,0.168,10000,0.0243,0.00153986626653488
