"model","n0","delta","rho","alpha","n_rep","mean_R","se_R","relative_MCSE","median_R","q90_R","PTS_25","PTS_100","censored_rate"
"cauchy_MW_exact_fast",100,0.5,0,0.01,1000,19.748,6.13563578796219,0.310696566131365,3,23,0.909,0.978,0
"cauchy_MW_exact_fast",100,0.5,0,0.05,1000,3.634,0.290393478529341,0.0799101481918934,1,8,0.985,0.998,0
"cauchy_MW_exact_fast",100,0.5,0.5,0.01,1000,8.307,0.736746595883927,0.0886898514366109,3,17,0.938,0.992,0
"cauchy_MW_exact_fast",100,0.5,0.5,0.05,1000,2.361,0.0997829426086228,0.0422629998342324,1,5,0.997,1,0
"cauchy_MW_exact_fast",100,0.5,0.9,0.01,1000,5.56,0.29197542644827,0.0525135659079623,3,12,0.974,0.998,0
"cauchy_MW_exact_fast",100,0.5,0.9,0.05,1000,1.817,0.0535946208437317,0.0294962140031545,1,3,1,1,0
"cauchy_MW_exact_fast",100,1,0,0.01,1000,1.07,0.00985886388977959,0.00921389148577531,1,1,1,1,0
"cauchy_MW_exact_fast",100,1,0,0.05,1000,1.011,0.00359052807980831,0.00355146199783215,1,1,1,1,0
"cauchy_MW_exact_fast",100,1,0.5,0.01,1000,1.042,0.00750281895638521,0.00720040206946758,1,1,1,1,0
"cauchy_MW_exact_fast",100,1,0.5,0.05,1000,1.004,0.00199699473909873,0.00198903858475969,1,1,1,1,0
"cauchy_MW_exact_fast",100,1,0.9,0.01,1000,1.01,0.00345136377565621,0.00341719185708536,1,1,1,1,0
"cauchy_MW_exact_fast",100,1,0.9,0.05,1000,1,0,0,1,1,1,1,0
"cauchy_MW_exact_fast",20,0.5,0,0.01,1000,1263.708,261.435264335502,0.206879488248474,52.5,1515,0.37,0.595,0.001
"cauchy_MW_exact_fast",20,0.5,0,0.05,1000,50.745,5.39101818324259,0.106237426017196,9,108,0.732,0.891,0
"cauchy_MW_exact_fast",20,0.5,0.5,0.01,1000,1236.389,305.986457366615,0.247483969338626,48.5,1004,0.384,0.618,0.001
"cauchy_MW_exact_fast",20,0.5,0.5,0.05,1000,46.37,5.57265624254696,0.120178051381215,8,91,0.743,0.911,0
"cauchy_MW_exact_fast",20,0.5,0.9,0.01,1000,2259.891,515.55826575714,0.228134129370461,54,1355,0.366,0.595,0.005
"cauchy_MW_exact_fast",20,0.5,0.9,0.05,1000,47.906,5.49086721627711,0.114617526328166,9,82,0.724,0.919,0
"cauchy_MW_exact_fast",20,1,0,0.01,1000,222.545,57.3661038754493,0.257773052081373,7,151,0.746,0.873,0
"cauchy_MW_exact_fast",20,1,0,0.05,1000,12.966,2.73630630891648,0.211037043723314,2,13,0.945,0.985,0
"cauchy_MW_exact_fast",20,1,0.5,0.01,1000,110.146,33.4510836548186,0.303697670862479,5,77,0.782,0.915,0
"cauchy_MW_exact_fast",20,1,0.5,0.05,1000,8.666,1.85116375592525,0.21361224970289,2,11,0.963,0.99,0
"cauchy_MW_exact_fast",20,1,0.9,0.01,1000,136.348,50.5245285468442,0.370555699730427,6,60,0.802,0.929,0
"cauchy_MW_exact_fast",20,1,0.9,0.05,1000,6.175,1.01035102028166,0.163619598426179,2,8,0.974,0.994,0
"cauchy_MW_exact_fast",50,0.5,0,0.01,1000,120.405,21.3554519104911,0.177363497450198,12,162,0.66,0.855,0
"cauchy_MW_exact_fast",50,0.5,0,0.05,1000,16.059,2.42591025381394,0.151062348453449,3,27,0.888,0.974,0
"cauchy_MW_exact_fast",50,0.5,0.5,0.01,1000,97.763,15.1666461020551,0.155136872866577,11,145,0.675,0.865,0
"cauchy_MW_exact_fast",50,0.5,0.5,0.05,1000,10.257,1.46446769053353,0.142777390127087,3,18,0.932,0.991,0
"cauchy_MW_exact_fast",50,0.5,0.9,0.01,1000,36.306,2.90081938719341,0.0798991733375587,10,87,0.735,0.917,0
"cauchy_MW_exact_fast",50,0.5,0.9,0.05,1000,5.989,0.346214880881431,0.0578084623278396,3,13,0.959,0.999,0
"cauchy_MW_exact_fast",50,1,0,0.01,1000,3.812,0.572498393369284,0.150183209173474,1,5,0.983,0.996,0
"cauchy_MW_exact_fast",50,1,0,0.05,1000,1.461,0.0417638985635107,0.0285858306389532,1,2,1,1,0
"cauchy_MW_exact_fast",50,1,0.5,0.01,1000,2.324,0.248424513159914,0.106895229414765,1,4,0.995,0.999,0
"cauchy_MW_exact_fast",50,1,0.5,0.05,1000,1.258,0.0258089539133632,0.020515861616346,1,2,1,1,0
"cauchy_MW_exact_fast",50,1,0.9,0.01,1000,1.693,0.0479066388514791,0.0282968924107969,1,3,1,1,0
"cauchy_MW_exact_fast",50,1,0.9,0.05,1000,1.092,0.0113870832817569,0.0104277319430008,1,1,1,1,0
"normal_Z",NA,0.5,0,0.01,1000,53.173,1.64767408819247,0.0309870439544971,36,124,0.368,0.842,0
"normal_Z",NA,0.5,0,0.05,1000,13.065,0.384804950396756,0.0294531152236323,9,30,0.851,1,0
"normal_Z",NA,0.5,0.5,0.01,1000,55.998,1.74576736700504,0.0311755306797571,38.5,123,0.378,0.842,0
"normal_Z",NA,0.5,0.5,0.05,1000,13.7,0.412849178810428,0.0301349765555057,10,30,0.85,0.999,0
"normal_Z",NA,0.5,0.9,0.01,1000,64.736,2.02100241334709,0.0312191425690047,44,152,0.327,0.784,0
"normal_Z",NA,0.5,0.9,0.05,1000,16.727,0.522127463449385,0.0312146507711714,11,37,0.799,0.996,0
"normal_Z",NA,1,0,0.01,1000,18.448,0.578686594085412,0.0313685274330774,13,43,0.746,0.995,0
"normal_Z",NA,1,0,0.05,1000,5.676,0.168063289475333,0.029609459033709,4,13,0.989,1,0
"normal_Z",NA,1,0.5,0.01,1000,17.56,0.518029685206123,0.0295005515493236,12,41,0.754,1,0
