"inspection","regime","phase2_values","phase2_mean","KS_D","exact_KS_p","raw_boundary_u","raw_alarm","Qtilde","Qtilde_alarm","p_EWMA","p_EWMA_alarm","KS_EWMA","KS_EWMA_alarm"
1,"IC N(0,1)","0.423; -0.908; 0.890; 0.257; -0.085",0.115330888179844,0.34,0.550026032344481,0.239608018854276,FALSE,0.578974770888927,FALSE,0.521702523010875,FALSE,0.3596756,FALSE
2,"IC N(0,1)","0.400; -0.862; 0.773; 0.744; -0.460",0.118891422144566,0.28,0.775769157550996,0.462692078026,FALSE,0.804717896095442,FALSE,0.572515849918899,FALSE,0.34374048,FALSE
3,"IC N(0,1)","1.166; 0.845; -0.783; 2.637; 1.193",1.01177813309721,0.62,0.0293313696347889,0.406870866573681,FALSE,0.069567264439561,FALSE,0.463878953862077,FALSE,0.398992384,FALSE
4,"IC N(0,1)","0.958; -0.484; -0.860; 0.093; 0.539",0.0491325008315464,0.22,0.940422819872186,0.0435404903386771,FALSE,0.943901183094164,FALSE,0.559187727064099,FALSE,0.3631939072,FALSE
5,"IC N(0,1)","1.399; 0.390; 1.280; 0.980; -0.857",0.638655232314259,0.48,0.165416519686498,0.118783611736026,FALSE,0.212611578841207,FALSE,0.480433485588579,FALSE,0.38655512576,FALSE
6,"OOC N(1.5,1)","2.268; 2.340; 2.375; 1.256; 0.806",1.80895308480108,0.81,0.000880358650458905,0.727430462908358,TRUE,0.0115109375925192,TRUE,0.384522860200955,FALSE,0.471244100608,TRUE
7,"OOC N(1.5,1)","-0.281; 1.455; 2.400; 0.080; 0.292",0.789091822436846,0.43,0.266747138373536,0.220192725257968,FALSE,0.267322685253162,FALSE,0.360967715835471,FALSE,0.4629952804864,TRUE
8,"OOC N(1.5,1)","1.027; 0.944; 0.781; 1.834; 0.815",1.08045632428283,0.81,0.000880358650458905,0.771483683136433,TRUE,0.014246492913117,TRUE,0.288950244398469,TRUE,0.53239622438912,TRUE
9,"OOC N(1.5,1)","1.128; 2.695; 3.522; 0.952; 1.417",1.94279008760507,0.85,0.000321124612194496,0.782029805859132,TRUE,0.00103344925785035,TRUE,0.231224420441214,TRUE,0.595916979511296,TRUE
10,"OOC N(1.5,1)","1.923; 2.731; 0.198; 0.214; 0.574",1.12810150817007,0.6,0.0385736648862105,0.482681855186314,FALSE,0.038625337349103,FALSE,0.192694269330213,TRUE,0.596733583609037,TRUE
11,"OOC N(1.5,1)","-0.318; 2.039; 1.905; 1.092; 2.201",1.38369930793776,0.68,0.0115918238575164,0.11581557409131,FALSE,0.0135230907249716,TRUE,0.156473780235674,TRUE,0.61338686688723,TRUE
12,"OOC N(1.5,1)","2.727; 1.387; 2.789; 0.297; 2.525",1.94490355002593,0.7,0.00817521456929772,0.508069649729526,FALSE,0.0088513691055463,TRUE,0.126814067102399,TRUE,0.630709493509784,TRUE
13,"OOC N(1.5,1)","1.722; 1.207; 2.165; 1.733; 1.528",1.67125273911058,0.89,9.04716399681087e-05,0.0456818098905069,TRUE,0.000533040095245424,TRUE,0.101469348009913,TRUE,0.682567594807827,TRUE
14,"OOC N(1.5,1)","1.873; 1.271; 1.377; 0.879; -0.204",1.03943513109969,0.62,0.0293313696347889,0.628987021238846,FALSE,0.0293580216395512,FALSE,0.0870417523348878,TRUE,0.670054075846262,TRUE
15,"OOC N(1.5,1)","1.558; 2.487; 2.814; 1.266; 0.852",1.79560615332709,0.82,0.000696950598279966,0.327929570854025,TRUE,0.00216485168025753,TRUE,0.0697727919875663,TRUE,0.700043260677009,TRUE
