"setting","study","chart","beta","alpha","validity","k","n_rep","mean_Rk","se_Rk","ci_lower","ci_upper","relative_MCSE","censored_rate","marginal_or_conditional_lower_bound","ratio_to_marginal_or_conditional_bound","reusable_baseline_lower_bound","ratio_to_reusable_baseline_bound","applicable_lower_bound","ratio_to_applicable_bound"
"E1","two-phase reusable baseline","two-phase normal p-value",,0.01,"marginal",1,1000,1190.394,71.3492072144753,1050.55212353414,1330.23587646586,0.059937472143236,0,50.5,23.5721584158416,100,11.90394,100,11.90394
"E1","two-phase reusable baseline","two-phase normal p-value",,0.01,"marginal",5,1000,5529.303,212.141475645098,5113.51334810842,5945.09265189157,0.0383667662352919,0,250.5,22.0730658682635,500,11.058606,500,11.058606
"E1","two-phase reusable baseline","two-phase normal p-value",,0.05,"marginal",1,1000,71.803,3.50106207123305,64.9410444327441,78.664955567256,0.0487592728887797,0,10.5,6.83838095238096,20,3.59015,20,3.59015
"E1","two-phase reusable baseline","two-phase normal p-value",,0.05,"marginal",5,1000,356.864,11.5468613705851,334.232567579176,379.495432420824,0.0323564757739227,0,50.5,7.06661386138614,100,3.56864,100,3.56864
"E2","stationary AR(1)","Pprime",0.1,0.01,"marginal",1,1000,102.21,3.23201079728918,95.8753752396686,108.544624760331,0.0316212777349494,0,50.5,2.0239603960396,,,50.5,2.0239603960396
"E2","stationary AR(1)","Pprime",0.1,0.01,"marginal",5,1000,505.362,7.11099143264532,491.424712897642,519.299287102358,0.0140710845545279,0,250.5,2.01741317365269,,,250.5,2.01741317365269
"E2","stationary AR(1)","Pprime",0.1,0.05,"marginal",1,1000,20.308,0.631842037506495,19.0696123625689,21.5463876374311,0.0311129622565735,0,10.5,1.93409523809524,,,10.5,1.93409523809524
"E2","stationary AR(1)","Pprime",0.1,0.05,"marginal",5,1000,100.351,1.4010655886802,97.6049619062084,103.097038093792,0.0139616504935695,0,50.5,1.98714851485149,,,50.5,1.98714851485149
"E2","stationary AR(1)","Pprime",0.5,0.01,"marginal",1,1000,110.705,3.66799320462145,103.515865423404,117.894134576596,0.0331330401031702,0,50.5,2.19217821782178,,,50.5,2.19217821782178
"E2","stationary AR(1)","Pprime",0.5,0.01,"marginal",5,1000,513.69,7.89449903508861,498.21706621524,529.16293378476,0.0153682163076731,0,250.5,2.05065868263473,,,250.5,2.05065868263473
"E2","stationary AR(1)","Pprime",0.5,0.05,"marginal",1,1000,22.597,0.68555567066255,21.2533355761042,23.9406644238958,0.0303383489251914,0,10.5,2.15209523809524,,,10.5,2.15209523809524
"E2","stationary AR(1)","Pprime",0.5,0.05,"marginal",5,1000,102.452,1.6563686948422,99.2055770129897,105.69842298701,0.0161672655960079,0,50.5,2.02875247524752,,,50.5,2.02875247524752
"E3","stationary AR(1)","Pstar",0.1,0.01,"conditional",1,1000,148.836,4.47453914996892,140.066064418646,157.605935581354,0.0300635541802314,0,100,1.48836,,,100,1.48836
"E3","stationary AR(1)","Pstar",0.1,0.01,"conditional",5,1000,752.75,10.3539924019027,732.456547796069,773.043452203931,0.0137548886109634,0,500,1.5055,,,500,1.5055
"E3","stationary AR(1)","Pstar",0.1,0.05,"conditional",1,1000,28.846,0.888185316900226,27.1051887672783,30.5868112327217,0.03079058853568,0,20,1.4423,,,20,1.4423
"E3","stationary AR(1)","Pstar",0.1,0.05,"conditional",5,1000,148.588,2.03787025376278,144.593847697459,152.582152302541,0.0137149046609604,0,100,1.48588,,,100,1.48588
"E3","stationary AR(1)","Pstar",0.5,0.01,"conditional",1,1000,260.621,7.9653390376672,245.009222361521,276.232777638479,0.0305629210142974,0,100,2.60621,,,100,2.60621
"E3","stationary AR(1)","Pstar",0.5,0.01,"conditional",5,1000,1294.913,18.3572114070095,1258.93352678567,1330.89247321433,0.0141764052156473,0,500,2.589826,,,500,2.589826
"E3","stationary AR(1)","Pstar",0.5,0.05,"conditional",1,1000,40.34,1.28145640992214,37.8283915887946,42.8516084112054,0.0317663958830475,0,20,2.017,,,20,2.017
"E3","stationary AR(1)","Pstar",0.5,0.05,"conditional",5,1000,201.606,2.75425465102315,196.207760079743,207.004239920257,0.0136615708412605,0,100,2.01606,,,100,2.01606
