"setting","model","n0","delta","rho","alpha","n_rep_run","mean_R","se_R","relative_MCSE","median_R","q90_R","PTS_25","PTS_100","censored_rate","mean_true_ooc","se_true_ooc","mean_false_ooc_at_alarm","precision_proxy","n_rep_fwer","fwer_hat","fwer_se"
"L1","normal_Z",,0.5,0,0.01,1000,53.173,1.64767408819247,0.0309870439544971,36,124,0.368,0.842,0,0.806,0.0131353163850947,0.208,0.794871794871795,10000,0.0045,0.000669342813497021
"L1","normal_Z",,0.5,0,0.05,1000,13.065,0.384804950396756,0.0294531152236323,9,30,0.851,1,0,0.792,0.0141044296210422,0.252,0.758620689655172,10000,0.0191,0.00136883394560371
"L1","normal_Z",,0.5,0.5,0.01,1000,55.998,1.74576736700504,0.0311755306797571,38.5,123,0.378,0.842,0,0.843,0.0115101469792302,0.221,0.792293233082707,10000,0.0046,0.000676705100453201
"L1","normal_Z",,0.5,0.5,0.05,1000,13.7,0.412849178810428,0.0301349765555057,10,30,0.85,0.999,0,0.827,0.01196721413756,0.342,0.707442258340462,10000,0.0223,0.00147664790959278
"L1","normal_Z",,0.5,0.9,0.01,1000,64.736,2.02100241334709,0.0312191425690047,44,152,0.327,0.784,0,0.963,0.00597215762238963,0.398,0.707567964731815,10000,0.0045,0.000669342813497033
"L1","normal_Z",,0.5,0.9,0.05,1000,16.727,0.522127463449385,0.0312146507711714,11,37,0.799,0.996,0,0.98,0.00442940398017835,0.534,0.647291941875826,10000,0.0237,0.00152120426184029
"L1","normal_Z",,1,0,0.01,1000,18.448,0.578686594085412,0.0313685274330774,13,43,0.746,0.995,0,0.958,0.009072944302613,0.065,0.936461388074291,10000,0.0031,0.000555940560663321
"L1","normal_Z",,1,0,0.05,1000,5.676,0.168063289475333,0.029609459033709,4,13,0.989,1,0,0.998,0.0120889264263681,0.115,0.896675651392633,10000,0.0172,0.00130022500303072
"L1","normal_Z",,1,0.5,0.01,1000,17.56,0.518029685206123,0.0295005515493236,12,41,0.754,1,0,0.964,0.00589395781616554,0.073,0.929604628736741,10000,0.004,0.00063122091535718
"L1","normal_Z",,1,0.5,0.05,1000,6.065,0.174875259417553,0.0288335135066039,4,13,0.988,1,0,0.96,0.00696049196885173,0.136,0.875912408759124,10000,0.0212,0.00144057749751721
"L1","normal_Z",,1,0.9,0.01,1000,18.566,0.589254499231753,0.0317383657886326,13,41,0.743,0.994,0,0.999,0.001,0.092,0.915673693858845,10000,0.0048,0.000691190114496345
"L1","normal_Z",,1,0.9,0.05,1000,5.927,0.161026707724528,0.0271683326682181,5,13,0.992,1,0,1,0,0.168,0.856164383561644,10000,0.0243,0.00153986626653488
"L2","cauchy_MW_exact_fast",20,0.5,0,0.01,1000,1263.708,261.435264335502,0.206879488248474,52.5,1515,0.37,0.595,0.001,0.74,0.014163354143726,0.266,0.73558648111332,10000,0.0042,0.000646744020291518
"L2","cauchy_MW_exact_fast",20,0.5,0,0.05,1000,50.745,5.39101818324259,0.106237426017196,9,108,0.732,0.891,0,0.757,0.0147026244992914,0.276,0.732817037754114,10000,0.0173,0.00130393290628853
"L2","cauchy_MW_exact_fast",20,0.5,0.5,0.01,1000,1236.389,305.986457366615,0.247483969338626,48.5,1004,0.384,0.618,0.001,0.823,0.0120754634203751,0.197,0.806862745098039,10000,0.0035,0.000590601287662095
